dropout,seed,epoch,layer,stable_rank,test_acc
0.4,8,100,layer2,3.256392696294325,0.7661
0.4,8,100,layer4,3.887108871339723,0.7661
0.4,9,1,layer1,2.403459191530451,0.1261
0.4,9,1,layer2,2.398718683369602,0.1261
0.4,9,1,layer4,3.0178419723062757,0.1261
0.4,9,50,layer1,2.442306693832931,0.5865
0.4,9,50,layer2,3.0160781993793906,0.5865
0.4,9,50,layer4,4.280752593550846,0.5865
0.4,9,100,layer1,2.185711943937587,0.7631
0.4,9,100,layer2,2.9924572713595303,0.7631
0.4,9,100,layer4,3.8985530197683196,0.7631
0.5,0,1,layer1,2.3849407812608336,0.1163
0.5,0,1,layer2,2.6730141944967967,0.1163
0.5,0,1,layer4,2.8522977611224687,0.1163
0.5,0,50,layer1,2.148947216046521,0.5809
0.5,0,50,layer2,3.155208646964122,0.5809
0.5,0,50,layer4,4.102697874769801,0.5809
0.5,0,100,layer1,2.0094704080291597,0.7621
0.5,0,100,layer2,3.167706143561101,0.7621
0.5,0,100,layer4,3.9308180981392713,0.7621
0.5,1,1,layer1,2.3169473923221124,0.115
0.5,1,1,layer2,2.578993205033938,0.115
0.5,1,1,layer4,2.4076270426569657,0.115
0.5,1,50,layer1,1.985829757926317,0.5703
0.5,1,50,layer2,2.994298917130241,0.5703
0.5,1,50,layer4,4.185616448688319,0.5703
0.5,1,100,layer1,1.9441044499899576,0.76
0.5,1,100,layer2,3.017995824666448,0.76
0.5,1,100,layer4,3.985674083725187,0.76
0.5,2,1,layer1,2.235300496814378,0.1094
0.5,2,1,layer2,2.5504826933302316,0.1094
0.5,2,1,layer4,2.9829247728144868,0.1094
0.5,2,50,layer1,1.9973207468270548,0.5467
0.5,2,50,layer2,3.1991948188854185,0.5467
0.5,2,50,layer4,3.815470212904604,0.5467
0.5,2,100,layer1,1.9976387985850084,0.7607
0.5,2,100,layer2,3.157242913337594,0.7607
0.5,2,100,layer4,3.929340358664921,0.7607
0.5,3,1,layer1,2.19685559651313,0.0907
0.5,3,1,layer2,1.5653534319480165,0.0907
0.5,3,1,layer4,2.9884306533297003,0.0907
0.5,3,50,layer1,2.270506454725909,0.5524
0.5,3,50,layer2,2.9857006561688366,0.5524
0.5,3,50,layer4,4.359092515878471,0.5524
0.5,3,100,layer1,2.1819398722376904,0.7549
0.5,3,100,layer2,2.9913006952504304,0.7549
0.5,3,100,layer4,3.9321283205450515,0.7549
0.5,4,1,layer1,2.230443090256121,0.0814
0.5,4,1,layer2,2.415129010949315,0.0814
0.5,4,1,layer4,2.927980126948159,0.0814
0.5,4,50,layer1,2.4899718059566576,0.5622
0.5,4,50,layer2,3.0482442934525444,0.5622
0.5,4,50,layer4,4.29207221857706,0.5622
0.5,4,100,layer1,2.4212356747429387,0.7604
0.5,4,100,layer2,3.031386796709268,0.7604
0.5,4,100,layer4,3.9607712588784247,0.7604
0.5,5,1,layer1,2.259255563420684,0.1117
0.5,5,1,layer2,2.603650517697547,0.1117
0.5,5,1,layer4,3.2082456440422717,0.1117
0.5,5,50,layer1,2.503106745783746,0.5727
0.5,5,50,layer2,3.3407035499263333,0.5727
0.5,5,50,layer4,4.086579031106011,0.5727
0.5,5,100,layer1,2.3312390203483027,0.7597
